mod;04.05.2015;07:24:58
usr;export
cpt;server
exe;INTREST_Export
lib;1
mrv;1
dvn;0
chs;ISO_LATIN_1
dss;full
dbn;ITSGMA120709
uid;14
cid;1
typ;R
eoh;

tbl;Node
atr;NODE_ID;LEVEL;VIRTUAL_TYPE;X;Y;VIRT_LINKID;VIRT_PERCENT;BIKE_DELAY;STATUS;NODE_OBJECTID;VIRT_LINK_OBJECTID
frm;decimal(10);decimal(3,1);decimal(1);decimal(9,7);decimal(9,7);decimal(10);decimal(7,4);decimal(3);string(1);decimal(20);decimal(20)
rec;10349761;0.0;0;16.3350306;48.1987549;-1;-1.0000;-1;"U";10349761;-1
rec;10349762;0.0;0;16.3359573;48.1990096;-1;-1.0000;-1;"U";10349762;-1
rec;10349763;0.0;0;16.3368870;48.1992743;-1;-1.0000;-1;"U";10349763;-1
rec;10349764;0.0;0;16.3398926;48.1985287;-1;-1.0000;-1;"U";10349764;-1
rec;10349765;0.0;0;16.3402717;48.1985855;-1;-1.0000;-1;"U";10349765;-1
rec;10349766;0.0;0;16.3411230;48.1987076;-1;-1.0000;-1;"U";10349766;-1
rec;10349767;0.0;0;16.3432171;48.1990103;-1;-1.0000;-1;"U";10349767;-1
rec;10349768;0.0;0;16.3450787;48.1992936;-1;-1.0000;-1;"U";10349768;-1
rec;10349769;0.0;0;16.3468822;48.1996049;-1;-1.0000;-1;"U";10349769;-1
rec;10349770;0.0;0;16.3479403;48.1997307;-1;-1.0000;-1;"U";10349770;-1
rec;10349771;0.0;0;16.3470332;48.1991243;-1;-1.0000;-1;"U";10349771;-1
rec;10349772;0.0;0;16.3480732;48.1992596;-1;-1.0000;-1;"U";10349772;-1
rec;10349773;0.0;0;16.3452135;48.1985618;-1;-1.0000;-1;"U";10349773;-1
rec;10349775;0.0;0;16.3348796;48.2031729;-1;-1.0000;-1;"U";10349775;-1
rec;10349776;0.0;0;16.3491292;48.2054294;-1;-1.0000;-1;"U";10349776;-1
rec;10349778;0.0;0;16.3489620;48.2042525;-1;-1.0000;-1;"U";10349778;-1
rec;10349830;0.0;0;16.3490739;48.2021362;-1;-1.0000;-1;"U";10349830;-1
rec;10349831;0.0;0;16.3490805;48.2017634;-1;-1.0000;-1;"U";10349831;-1
rec;10349841;0.0;0;16.3491103;48.2009739;-1;-1.0000;-1;"U";10349841;-1
rec;10349843;0.0;0;16.3493008;48.1998867;-1;-1.0000;-1;"U";10349843;-1
rec;10349847;0.0;0;16.3494743;48.1994393;-1;-1.0000;-1;"U";10349847;-1
rec;10349900;0.0;0;16.3489990;48.2034008;-1;-1.0000;-1;"U";10349900;-1
rec;10350908;0.0;0;16.3278356;48.1954108;-1;-1.0000;-1;"U";10350908;-1
rec;10350909;0.0;0;16.3297001;48.1959163;-1;-1.0000;-1;"U";10350909;-1
rec;10350910;0.0;0;16.3319841;48.1979168;-1;-1.0000;-1;"U";10350910;-1
rec;10350911;0.0;0;16.3316587;48.1964492;-1;-1.0000;-1;"U";10350911;-1
rec;10350912;0.0;0;16.3307559;48.1948518;-1;-1.0000;-1;"U";10350912;-1
rec;10350913;0.0;0;16.3311350;48.1947304;-1;-1.0000;-1;"U";10350913;-1
rec;10350914;0.0;0;16.3315699;48.1931757;-1;-1.0000;-1;"U";10350914;-1
rec;10350940;0.0;0;16.3263613;48.1977698;-1;-1.0000;-1;"U";10350940;-1
rec;10350941;0.0;0;16.3273021;48.1980345;-1;-1.0000;-1;"U";10350941;-1
rec;10350942;0.0;0;16.3282176;48.1982882;-1;-1.0000;-1;"U";10350942;-1
rec;10350955;0.0;0;16.3261983;48.1963077;-1;-1.0000;-1;"U";10350955;-1
rec;10350956;0.0;0;16.3271158;48.1965641;-1;-1.0000;-1;"U";10350956;-1
rec;10350957;0.0;0;16.3280565;48.1968217;-1;-1.0000;-1;"U";10350957;-1
rec;10350958;0.0;0;16.3289678;48.1970825;-1;-1.0000;-1;"U";10350958;-1
rec;10350959;0.0;0;16.3299085;48.1973377;-1;-1.0000;-1;"U";10350959;-1
rec;10350960;0.0;0;16.3309173;48.1976092;-1;-1.0000;-1;"U";10350960;-1
rec;10350971;0.0;0;16.3269270;48.1951511;-1;-1.0000;-1;"U";10350971;-1
rec;10350972;0.0;0;16.3287701;48.1956683;-1;-1.0000;-1;"U";10350972;-1
rec;10350973;0.0;0;16.3306408;48.1961664;-1;-1.0000;-1;"U";10350973;-1
rec;10350978;0.0;0;16.3272831;48.1930150;-1;-1.0000;-1;"U";10350978;-1
rec;10350979;0.0;0;16.3285356;48.1933700;-1;-1.0000;-1;"U";10350979;-1
rec;10350980;0.0;0;16.3295916;48.1936831;-1;-1.0000;-1;"U";10350980;-1
rec;10350983;0.0;0;16.3274185;48.1921412;-1;-1.0000;-1;"U";10350983;-1
rec;10350984;0.0;0;16.3273317;48.1927516;-1;-1.0000;-1;"U";10350984;-1
rec;10350985;0.0;0;16.3286051;48.1928759;-1;-1.0000;-1;"U";10350985;-1
rec;10350986;0.0;0;16.3297605;48.1929924;-1;-1.0000;-1;"U";10350986;-1
